run_id,update,env_steps,loss,policy_loss,value_loss,approx_kl,entropy,gradient_norm,epochs_completed,kl_early_stop,reward,reward_status
local,75,76800,1.3103258609771729,-0.018012233078479767,1.0367114543914795,0.010187305510044098,-29.162668228149414,81.02030181884766,5,0.0,,not_recorded_in_source_summary
local,76,77824,1.6479676961898804,-0.010703574866056442,1.3670570850372314,0.021997123956680298,-29.161418914794922,216.07701110839844,4,1.0,,not_recorded_in_source_summary
local,77,78848,1.6601266860961914,-0.013620667159557343,1.3821465969085693,0.017550596967339516,-29.160076141357422,104.81148529052734,5,0.0,,not_recorded_in_source_summary
local,78,79872,1.6382824182510376,-0.007600924000144005,1.3542879819869995,0.022913722321391106,-29.15953826904297,75.64212036132812,2,1.0,,not_recorded_in_source_summary
local,79,80896,1.4183175563812256,-0.01613331399857998,1.142864465713501,0.014981677755713463,-29.158641815185547,111.55902099609375,5,0.0,,not_recorded_in_source_summary
local,80,81920,1.6480259895324707,-0.014453450217843056,1.3709008693695068,0.015820086002349854,-29.157848358154297,91.35819244384766,5,0.0,,not_recorded_in_source_summary
local,81,82944,1.6418126821517944,-0.014774341136217117,1.3650165796279907,0.017959626391530037,-29.157039642333984,99.70439910888672,5,0.0,,not_recorded_in_source_summary
local,82,83968,1.6299324035644531,-0.009494300931692123,1.3478641510009766,0.016498636454343796,-29.156261444091797,140.09498596191406,5,0.0,,not_recorded_in_source_summary
local,83,84992,1.4530842304229736,-0.021448273211717606,1.182973861694336,0.010787468403577805,-29.155858993530273,101.07656860351562,5,0.0,,not_recorded_in_source_summary
local,84,86016,1.6359748840332031,-0.014011476188898087,1.3584308624267578,0.02137952670454979,-29.155555725097656,79.4757308959961,4,1.0,,not_recorded_in_source_summary
local,85,87040,1.6422499418258667,-0.015566855669021606,1.3662711381912231,0.016559554263949394,-29.15456199645996,126.09748077392578,5,0.0,,not_recorded_in_source_summary
local,86,88064,1.5345815420150757,-0.0178166963160038,1.2608646154403687,0.011479144915938377,-29.153362274169922,88.71453857421875,5,0.0,,not_recorded_in_source_summary
local,87,89088,1.589003324508667,-0.016870904713869095,1.3143508434295654,0.012219233438372612,-29.15233039855957,132.8252410888672,5,0.0,,not_recorded_in_source_summary
local,88,90112,1.6449846029281616,-0.011952953413128853,1.3654214143753052,0.011847465299069881,-29.151615142822266,150.13995361328125,5,0.0,,not_recorded_in_source_summary
local,89,91136,1.6462395191192627,0.0024995040148496628,1.3522257804870605,0.031878843903541565,-29.15142822265625,258.56988525390625,2,1.0,,not_recorded_in_source_summary
local,90,92160,1.4509661197662354,-0.01760937087237835,1.1770672798156738,0.007969825528562069,-29.150821685791016,75.72990417480469,5,0.0,,not_recorded_in_source_summary
local,91,93184,1.6054588556289673,-0.010730566456913948,1.324688196182251,0.02213439717888832,-29.150127410888672,64.91508483886719,4,1.0,,not_recorded_in_source_summary
local,92,94208,1.6176953315734863,-0.011492427438497543,1.3376951217651367,0.0035753280390053988,-29.149261474609375,47.006103515625,5,0.0,,not_recorded_in_source_summary
local,93,95232,1.6549887657165527,-0.00914214737713337,1.3726470470428467,0.014917595311999321,-29.148387908935547,198.16802978515625,5,0.0,,not_recorded_in_source_summary
local,94,96256,1.3571749925613403,-0.014944476075470448,1.0806409120559692,0.019065622240304947,-29.147855758666992,79.88070678710938,5,0.0,,not_recorded_in_source_summary
local,95,97280,1.6113630533218384,-0.012566348537802696,1.3324525356292725,0.008002743124961853,-29.147682189941406,55.04362106323242,5,0.0,,not_recorded_in_source_summary
local,96,98304,1.6577038764953613,0.0035987570881843567,1.362628698348999,0.03162207454442978,-29.147640228271484,250.25730895996094,2,1.0,,not_recorded_in_source_summary
local,97,99328,1.621647834777832,-0.008489133790135384,1.338666319847107,0.014361409470438957,-29.147071838378906,86.51128387451172,5,0.0,,not_recorded_in_source_summary
local,98,100352,1.3129806518554688,-0.019111908972263336,1.0406317710876465,0.017351265996694565,-29.146081924438477,100.98095703125,5,0.0,,not_recorded_in_source_summary
local,99,101376,1.624017357826233,-0.008484955877065659,1.3410505056381226,0.009930474683642387,-29.145179748535156,33.233673095703125,5,0.0,,not_recorded_in_source_summary
local,100,102400,1.6185429096221924,-0.015916798263788223,1.343021035194397,0.014023307710886002,-29.143863677978516,64.83832550048828,5,0.0,,not_recorded_in_source_summary
mixed,1,1024,1.5846807956695557,-1.0244548320770264e-07,1.4297302961349487,0.2841910719871521,-15.495062828063965,33.76956558227539,1,1.0,,not_recorded_in_source_summary
mixed,2,2048,1.6179804801940918,9.313225746154785e-09,1.4630348682403564,0.02303079515695572,-15.494563102722168,36.89700698852539,1,1.0,,not_recorded_in_source_summary
mixed,3,3072,1.6454682350158691,9.12696123123169e-08,1.4905259609222412,0.08933141827583313,-15.494214057922363,28.05710792541504,1,1.0,,not_recorded_in_source_summary
mixed,4,4096,1.514849305152893,8.940696716308594e-08,1.3599112033843994,0.1122698113322258,-15.493793487548828,27.23968505859375,1,1.0,,not_recorded_in_source_summary
mixed,5,5120,1.5567482709884644,-0.016831960529088974,1.4186668395996094,0.028076672926545143,-15.491339683532715,29.006166458129883,4,1.0,,not_recorded_in_source_summary
mixed,6,6144,1.5805304050445557,-0.016070794314146042,1.4417210817337036,0.02040686085820198,-15.488019943237305,69.99494934082031,5,1.0,,not_recorded_in_source_summary
mixed,7,7168,1.6042461395263672,-0.018434805795550346,1.4678285121917725,0.01586681231856346,-15.485245704650879,63.81056213378906,5,0.0,,not_recorded_in_source_summary
mixed,8,8192,1.334133505821228,-0.020897531881928444,1.2001925706863403,0.020035723224282265,-15.483842849731445,39.683528900146484,4,1.0,,not_recorded_in_source_summary
mixed,9,9216,1.544013500213623,-0.016357440501451492,1.4055466651916504,0.01476011797785759,-15.482431411743164,55.395442962646484,5,0.0,,not_recorded_in_source_summary
mixed,10,10240,1.6272785663604736,-1.4528632164001465e-07,1.4724574089050293,0.020280998200178146,-15.482131958007812,41.950679779052734,1,1.0,,not_recorded_in_source_summary
mixed,11,11264,1.6511497497558594,-2.7567148208618164e-07,1.496330738067627,0.04118768498301506,-15.481922149658203,38.84748458862305,1,1.0,,not_recorded_in_source_summary
mixed,12,12288,1.3202940225601196,0.0035308990627527237,1.1619495153427124,0.020605452358722687,-15.481367111206055,68.74456024169922,2,1.0,,not_recorded_in_source_summary
mixed,13,13312,1.5461000204086304,-0.019395776093006134,1.4106929302215576,0.027012066915631294,-15.480291366577148,28.077232360839844,4,1.0,,not_recorded_in_source_summary
