phase,env_steps,steps,seconds,mean_reward,mean_raw_return,returns,lengths,optimizer_steps,mean_loss,policy_loss,value_loss,entropy,approximate_kl,clip_fraction,explained_variance
update,26624,512,0.05610179190989584,,,,,8,1014.9407730102539,0.005169473704881966,1014.9356079101562,-29.22299551963806,0.03338587307371199,0.443359375,-0.0011747418391243603
episodes,26756,,,,6659.4056052565575,"[5017.851408362389,8300.959802150726]","[689,1000]",,,,,,,,
collection,27136,512,0.2570137500297278,7.392591248964891,,,,,,,,,,,
update,27136,512,0.05434687505476177,,,,,8,963.6188354492188,0.0031300790142267942,963.6157073974609,-29.223056316375732,0.027338640589732677,0.3583984375,0.06681582066197678
episodes,27216,,,,1416.1125041246414,[1416.1125041246414],[200],,,,,,,,
episodes,27296,,,,7468.833161830902,[7468.833161830902],[1000],,,,,,,,
episodes,27456,,,,1245.4277266766876,[1245.4277266766876],[175],,,,,,,,
episodes,27500,,,,1303.105825126171,[1303.105825126171],[186],,,,,,,,
collection,27648,512,0.274283541017212,7.014282772765,,,,,,,,,,,
update,27648,512,0.05241687502712011,,,,,8,842.030029296875,-0.008247849065810442,842.0382843017578,-29.22306799888611,0.04322658950695768,0.404296875,0.08045946358007838
episodes,27700,,,,661.0863354355097,[661.0863354355097],[101],,,,,,,,
episodes,27724,,,,428.505081102252,[428.505081102252],[67],,,,,,,,
episodes,27836,,,,556.2384322062135,[556.2384322062135],[84],,,,,,,,
episodes,27984,,,,1363.9312825929374,[1363.9312825929374],[192],,,,,,,,
collection,28160,512,0.3471131669357419,6.999073913419124,,,,,,,,,,,
update,28160,512,0.08123070793226361,,,,,8,871.2324447631836,0.00038689933717250824,871.232063293457,-29.223032236099243,0.02427466190420091,0.36328125,0.10816898350059634
episodes,28276,,,,1015.0699835382402,[1015.0699835382402],[144],,,,,,,,
episodes,28592,,,,1071.4179044216871,[1071.4179044216871],[152],,,,,,,,
episodes,28660,,,,648.0301025765948,[648.0301025765948],[96],,,,,,,,
collection,28672,512,0.2883854580577463,7.1749850398764465,,,,,,,,,,,
update,28672,512,0.05943091702647507,,,,,8,925.5195465087891,-0.0043998900800943375,925.5239410400391,-29.22297978401184,0.011758005304727703,0.2998046875,0.08692490376184758
episodes,28952,,,,2249.788403324783,[2249.788403324783],[307],,,,,,,,
episodes,29068,,,,788.6726870462298,[788.6726870462298],[119],,,,,,,,
episodes,29108,,,,766.556987926364,[766.556987926364],[112],,,,,,,,
collection,29184,512,0.2805780410999432,6.976662672066595,,,,,,,,,,,
update,29184,512,0.056514999945648015,,,,,8,862.0807495117188,0.08353986986912787,861.9972076416016,-29.222981214523315,0.04308580845827237,0.3134765625,0.08702597658627209
episodes,29464,,,,2986.409069031477,[2986.409069031477],[407],,,,,,,,
episodes,29548,,,,1037.1474637389183,[1037.1474637389183],[149],,,,,,,,
collection,29696,512,0.26328462501987815,7.084678897459526,,,,,,,,,,,
update,29696,512,0.05602562497369945,,,,,8,906.1582183837891,-0.007029252592474222,906.1652374267578,-29.222992181777954,0.03167327312985435,0.2666015625,0.08937008132498558
episodes,29792,,,,1272.6963198184967,[1272.6963198184967],[181],,,,,,,,
episodes,30028,,,,966.2018319368362,[966.2018319368362],[141],,,,,,,,
episodes,30040,,,,825.9958251230419,[825.9958251230419],[123],,,,,,,,
collection,30208,512,0.27324412495363504,7.02039246205095,,,,,,,,,,,
update,30208,512,0.055186832905746996,,,,,8,874.5453796386719,7.09042651578784e-05,874.5453033447266,-29.223122596740723,0.02279209264088422,0.3330078125,0.11062075181555409
episodes,30300,,,,879.1069680005312,[879.1069680005312],[127],,,,,,,,
episodes,30388,,,,591.9234189093113,[591.9234189093113],[90],,,,,,,,
episodes,30400,,,,587.9718322753906,[587.9718322753906],[90],,,,,,,,
collection,30720,512,0.2701663749758154,6.999658776418073,,,,,,,,,,,
update,30720,512,0.05526054196525365,,,,,8,868.2234420776367,-0.004355858080089092,868.2277908325195,-29.223196983337402,0.020624065306037664,0.3798828125,0.11427278965562115
episodes,30788,,,,620.7362537831068,[620.7362537831068],[97],,,,,,,,
episodes,31052,,,,1229.648387555033,"[1150.274296373129,1309.022478736937]","[166,188]",,,,,,,,
collection,31232,512,0.2667943750275299,6.862812079125433,,,,,,,,,,,
update,31232,512,0.060798667022027075,,,,,8,867.6203002929688,-0.004130087443627417,867.6244277954102,-29.223244428634644,0.019573962956201285,0.337890625,0.09207816934475133
episodes,31464,,,,673.898826835677,[673.898826835677],[103],,,,,,,,
episodes,31528,,,,1297.0089087709785,[1297.0089087709785],[185],,,,,,,,
episodes,31544,,,,864.8479164838791,[864.8479164838791],[123],,,,,,,,
collection,31744,512,0.29019654204603285,7.037487253819563,,,,,,,,,,,
update,31744,512,0.06167466600891203,,,,,8,840.3998031616211,-0.005289335967972875,840.4050979614258,-29.223193883895874,0.01996135711669922,0.2890625,0.10868846357349193
episodes,31916,,,,600.7544899508357,[600.7544899508357],[93],,,,,,,,
episodes,31924,,,,646.0331346616149,[646.0331346616149],[99],,,,,,,,
collection,32256,512,0.27225970895960927,7.07947688785498,,,,,,,,,,,
update,32256,512,0.054619207978248596,,,,,8,906.0665435791016,0.001682861358858645,906.0648574829102,-29.22312593460083,0.024353898304980248,0.3310546875,0.1058377335685241
episodes,32388,,,,1676.2682124767452,[1676.2682124767452],[231],,,,,,,,
collection,32768,512,0.2678595839533955,7.420033663820504,,,,,,,,,,,
update,32768,512,0.05685354198794812,,,,,8,992.3935241699219,0.0017409028951078653,992.3917770385742,-29.223060131072998,0.011814007302746177,0.2978515625,0.05922189893301022
